dataset	silhouette_score	calinski_harabasz_score	davies_bouldin_score	SSE	nSSE	ARI	MIS	v_measure	n_clusters	init	max_iter	n_init	algorithm
a2	0.406451946	5830.209805	0.921128294	5.60474E+11	53378447.14	0.150333283	0.370752899	0.537390756	4	k-means++	300	10	auto
a2	0.437499606	5251.992506	0.868666739	8.09201E+11	77066803.05	0.093815157	0.285467519	0.442494872	3	k-means++	300	10	auto
banana	0.374854661	17984.54396	0.810250632	2.598111481	0.000270018	-0.000110527	-0.000232463	0.001557622	42	k-means++	300	10	auto
banana	0.39765078	17954.71862	0.781147094	3.13858589	0.000326189	-0.000129171	-0.000257633	0.001254425	35	k-means++	300	10	auto
banana	0.414255134	17951.3639	0.759468581	3.23427037	0.000336133	-6.76E-05	4.70E-05	0.001727851	34	k-means++	300	10	auto
banana	0.417527243	17931.79605	0.73858726	3.446297356	0.000358169	-0.000116913	-8.89E-05	0.001421969	32	k-means++	300	10	auto
banana	0.423472925	17920.32976	0.774403399	3.054842316	0.000317485	-0.000138279	-0.000153139	0.001470428	36	k-means++	300	10	auto
banana	0.389306342	17904.45898	0.799463535	2.892240124	0.000300586	-0.000171101	-0.000327999	0.00124928	38	k-means++	300	10	auto
banana	0.385442248	17884.62998	0.793829828	2.975803179	0.000309271	-8.01E-05	-7.61E-05	0.001634207	37	k-means++	300	10	auto
banana	0.429066257	17879.98338	0.747665805	3.693900874	0.000383902	-7.96E-05	-0.000112868	0.001299565	30	k-means++	300	10	auto
banana	0.420940796	17854.75281	0.756456219	3.353212696	0.000348494	-6.56E-05	-4.60E-05	0.001533102	33	k-means++	300	10	auto
banana	0.431549871	17817.2475	0.726204279	3.980269707	0.000413663	-8.00E-05	-4.35E-05	0.001332698	28	k-means++	300	10	auto
banana	0.429218736	17804.37721	0.742664551	3.84139119	0.00039923	-2.73E-05	4.70E-05	0.001520315	29	k-means++	300	10	auto
banana	0.415029769	17801.5649	0.757630865	3.586833715	0.000372774	-8.67E-05	-8.77E-05	0.001379865	31	k-means++	300	10	auto
banana	0.370760405	17760.89535	0.820860191	2.696561462	0.00028025	-0.000113121	-0.00024079	0.001504319	41	k-means++	300	10	auto
banana	0.407152768	17719.71184	0.788241599	2.845587741	0.000295738	-0.000105069	-0.00010465	0.001665296	39	k-means++	300	10	auto
banana	0.366910447	17688.88279	0.825794958	2.460795494	0.000255747	-0.000130275	-0.00031303	0.001543795	45	k-means++	300	10	auto
banana	0.381570085	17672.59059	0.7927655	2.77945946	0.000288865	-9.78E-05	-0.000108138	0.001701305	40	k-means++	300	10	auto
banana	0.363735678	17668.57802	0.823399487	2.581186899	0.000268259	-1.92E-05	2.05E-05	0.002022137	43	k-means++	300	10	auto
banana	0.347133273	17661.20732	0.824300267	2.212131063	0.000229903	-5.80E-05	-0.000165175	0.001967046	50	k-means++	300	10	auto
banana	0.336080829	17631.19381	0.844849718	2.262351905	0.000235123	-6.95E-05	-0.000188583	0.001883018	49	k-means++	300	10	auto
banana	0.345402697	17625.36897	0.826386637	2.527200755	0.000262648	-0.000132401	-0.000256244	0.001594884	44	k-means++	300	10	auto
